"web_scraper_order","web_scraper_start_url","title","lieu","type","asso","date_mission","dispo"
"1615904253-2120","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=253&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnement relationnel de personnes âgées par des visites à domicile","Lieu : ST GENIS LES OLLIERES (69290)","Type :  Visite à domicile","Association :  Les petits frères des Pauvres de la région Auvergne Rhône-Alpes, AURA","Date : Tout le temps","Disponibilité demandée :  1 à 2 heures par semaine de façon régulière ou tous les 15 jours, éventuellement le week-end."
"1615903800-414","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=395&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chargé de Développement Mécénat","Lieu : PARIS 75020 (75020)","Type :  Recherche de fonds, de partenaires","Association :  Fédération Habitat & Humanisme - Siège","Date : Tout le temps","Disponibilité demandée :  1 à 2 jours par semaine"
"1615904592-3439","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=143&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Animer un atelier pour des enfants de 6 à 12 ans","Lieu : Lyon (toute la ville) (69000)","Type :  Animation culturelle","Association :  Ateliers Amasco, Jouer et Apprendre","Date : Tout le temps","Disponibilité demandée :  1heure sur une journée choisie"
"1615904134-1616","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=295&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Référent Unicef Campus H/F","Lieu : LIMOGES (87000)","Type :  Communication","Association :  Unicef - Comité de Haute Vienne","Date : Tout le temps","Disponibilité demandée :  1/2 journée par semaine"
"1615904267-2195","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=247&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Classement des dossiers supports des cours","Lieu : L'UNION (31240)","Type :  Alphabétisation. Français Langue Etrangère.","Association :   PARLER   LIRE   ECRIRE  C.I.S.E.A.31","Date : du 02/11/2020 au 30/06/2021","Disponibilité demandée :  quelques heures"
"1615904507-3029","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=177&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Distribution de vêtements - Cergy","Lieu : CERGY (95000)","Type :  Distribution d'aliments, vêtements...","Association :  Le Maillon","Date : Tout le temps","Disponibilité demandée :  - Quelques heures par semaine."
"1615904941-4648","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=42&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chargé(e) de communication digitale","Lieu : MONTLUEL (01120)","Type :  Communication","Association :  Institut de la Langue Arabe de Montluel","Date : Tout le temps","Disponibilité demandée :  quelques heures par semaine"
"1615904814-4327","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=69&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Secrétaire pour la Maison des Services de Montluel","Lieu : MONTLUEL (01120)","Type :  Secrétariat, bureautique","Association :  Fédération ADMR de l'Ain","Date : Tout le temps","Disponibilité demandée :  Une fois par semaine ou plus selon vos disponibilités"
"1615904456-2834","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=193&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","AFM-Téléthon - Responsable Pôle Formation - Région Ouest","Lieu : DEUX-SEVRES (79)","Type :  Enseignement. Formation.","Association :  Association Française contre les Myopathies - Siège","Date : Tout le temps","Disponibilité demandée :  2.5 jours par semaine environ"
"1615904069-1337","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=318&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Sensibilisation, événementiel, collecte","Lieu : REIMS (51)","Type :  Communication","Association :  Fondation Raoul Follereau - Région Est","Date : Tout le temps","Disponibilité demandée :  quelques jours , heures , dans l'année"
"1615904911-4552","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=50&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Responsable administratif et financier (Département 91 - Nord)","Lieu : ESSONNE (91)","Type :  Gestion financière et comptable","Association :  AFM - Coordination Téléthon - Essonne (Nord)","Date : Tout le temps","Disponibilité demandée :  Environ deux demi-journées par semaine"
"1615903825-487","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=389&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Game Designer - Partagez votre expérience et conseillez les jeunes qui partagent votre passion !","Lieu : Partout en France ","Type :  Aide à l'insertion / Parrainages","Association :  JobIRL ","Date : Tout le temps","Disponibilité demandée :  Quelques heures"
"1615903987-1011","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=345&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Petit bricolage","Lieu : PARIS 19 (75019)","Type :  Travaux manuels","Association :  Fondation Maison des Champs","Date : Tout le temps","Disponibilité demandée :  quelques heures par semaine"
"1615904432-2806","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=196&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Bénévole jardinage à la Pension de Famille Montbrillant","Lieu : LYON 69003 (69003)","Type :  Travaux manuels","Association :  Habitat et Humanisme - Rhône","Date : Tout le temps","Disponibilité demandée :  A définir ensemble, 1 fois/semaine ou 1 fois/15 jours"
"1615904528-3137","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=168&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Comptable","Lieu : NANTERRE (92000)","Type :  Gestion financière et comptable","Association :  Contre jour","Date : Tout le temps","Disponibilité demandée :  2 demi -journées par mois."
"1615904236-2034","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=260&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Trésorier","Lieu : AUCH (32000)","Type :  Gestion financière et comptable","Association :  Les Restaurants du Cœur - Gers","Date : Tout le temps","Disponibilité demandée :  2-4 demi-journées par semaine"
"1615904299-2327","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=236&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Gestionnaire du matériel","Lieu : YVELINES (78)","Type :  Opération de sensibilisation","Association :  Association Prévention Routière - Région Île-de-France","Date : Tout le temps","Disponibilité demandée :  en semaine, sur des demi-journées"
"1615904255-2136","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=252&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnement scolaire pour Lycéens","Lieu : PUTEAUX (92800)","Type :  Accompagnement scolaire","Association :  Association Main Tendue pour l'Intégration à Puteaux","Date : Tout le temps","Disponibilité demandée :  1 fois par semaine  selon l'emploi du temps de chacun"
"1615904221-1964","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=266&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chargé(e) d'actions éducatives H/F","Lieu : ANGERS (49000)","Type :  Animation culturelle","Association :  UNICEF Maine-et-Loire","Date : Tout le temps","Disponibilité demandée :  Une demi journée par semaine"
"1615904850-4383","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=64&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnement à la pratique du français","Lieu : BOURG LA REINE (92340)","Type :  Aide à l'insertion / Parrainages","Association :  BLR Dynamique et Solidaire","Date : Tout le temps","Disponibilité demandée :  1 à 2 heures par semaine"
"1615904859-4436","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=60&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Responsables d'antenne locale - Cher","Lieu : CHER (18)","Type :  Responsable associatif. Coordinateur d'équipe","Association :  Grands-Parrains","Date : Tout le temps","Disponibilité demandée :  Quelques heures par semaine"
"1615905059-4967","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=16&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Engage toi pour le Partenariat et la Mobilisation des Entreprises pour le Téléthon","Lieu : RHONE (69)","Type :  Recherche de fonds, de partenaires","Association :  AFM - Coordination Téléthon - Rhône (Nord)","Date : Tout le temps","Disponibilité demandée :  Quelques heures par semaine."
"1615904336-2452","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=225&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accueil et Parrainage de chercheurs d'emploi - Antenne Paris-19","Lieu : PARIS 75019 (75019)","Type :  Aide à l'insertion / Parrainages","Association :  Association Visemploi","Date : Tout le temps","Disponibilité demandée :  quelques heures par mois"
"1615904802-4290","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=72&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Technicien radio","Lieu : BIARS SUR CERE (46130)","Type :  Autres actions","Association :  Association Musique Information Culture Radio en Occitanie","Date : Tout le temps","Disponibilité demandée :  A discuter en fonction de votre disponibilité"
"1615904183-1779","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=281&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Animation de Taekwondo pour jeunes de plus de 12 ans","Lieu : PARIS 75018 (75018)","Type :  Animation sportive","Association :  Les Enfants de la Goutte D'Or","Date : Tout le temps","Disponibilité demandée :  quelques heures"
"1615904936-4629","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=44&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnement d'un enfants handicapé - à domicile et/ou en sorties - Argenteuil","Lieu : ARGENTEUIL (95100)","Type :  Accompagnement social. Maraude","Association :  Odapei 95","Date : Tout le temps","Disponibilité demandée :  - Quelques heures par semaine. ."
"1615903889-662","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=374&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Animateur/trice de l'équipe bénévole - Chambéry","Lieu : CHAMBERY (73000)","Type :  Responsable associatif. Coordinateur d'équipe","Association :  Habitat et Humanisme - Savoie","Date : Tout le temps","Disponibilité demandée :  Quelques heures par semaine"
"1615904754-4076","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=90&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Graphiste Labo-Boutique","Lieu : Partout en France ","Type :  Animation culturelle","Association :  Association Médias Jeunes Production (AMJP)","Date : Tout le temps","Disponibilité demandée :  Entre 2 et 5 heures par semaine"
"1615904636-3641","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=126&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnement scolaire à  domicile - Orléans","Lieu : ORLEANS (45000)","Type :  Accompagnement scolaire","Association :  Entraide Scolaire Amicale - Section du Loiret","Date : Tout le temps","Disponibilité demandée :  1 fois par semaine, 1 heure minimum"
"1615904573-3356","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=150&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnant bricoleur","Lieu : MEURTHE-ET-MOSELLE (54)","Type :  Accompagnement social. Maraude","Association :  Habitat et Humanisme - Lorraine","Date : Tout le temps","Disponibilité demandée :  quelques heures par semaine"
"1615904269-2207","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=246&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Apprentissage du français","Lieu : NIORT (79000)","Type :  Alphabétisation. Français Langue Etrangère.","Association :  Secours catholique - Délégation POITOU","Date : Tout le temps","Disponibilité demandée :  sur RDV"
"1615904735-3975","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=98&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Comptabilité / Gestion - Vallée de Montmorency dont Eaubonne","Lieu : VAL-D'OISE (95)","Type :  Gestion financière et comptable","Association :  AMI Services","Date : Tout le temps","Disponibilité demandée :  - Quelques heures par semaine."
"1615904754-4073","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=90&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Responsable ventes et S.A.V. Labo Boutique","Lieu : Partout en France ","Type :  Vente. Commerce équitable","Association :  Association Médias Jeunes Production (AMJP)","Date : Tout le temps","Disponibilité demandée :  Entre 4 et 6 heures par semaine"
"1615903849-583","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=381&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnement scolaire collégiens","Lieu : PARIS 10 (75010)","Type :  Accompagnement scolaire","Association :  Association Initiatives, Rencontres et Solidarité 10ème","Date : Tout le temps","Disponibilité demandée :  1h30 par semaine"
"1615904949-4690","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=39&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Bénévole pour la recherche de fonds","Lieu : PARIS 75017 (75017)","Type :  Recherche de fonds, de partenaires","Association :  Toit à Moi","Date : Tout le temps","Disponibilité demandée :  4 heures"
"1615904076-1376","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=315&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Prévention auprès de jeunes","Lieu : LE MANS (72100)","Type :  Secourisme. Santé. Soins","Association :  Mouvement du Nid - Délégation de la Sarthe","Date : Tout le temps","Disponibilité demandée :  quelques heures"
"1615904129-1591","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=297&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Ambassadeur : coordination évènementielle locale","Lieu : PARIS (toute la ville) (75000)","Type :  Animation culturelle","Association :  Solidarités Nouvelles pour le Logement - SNL Paris","Date : Tout le temps","Disponibilité demandée :  quelques heures par semaine"
"1615904049-1271","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=324&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Animer des actions de sensibilisation au handicap","Lieu : NANTERRE (92000)","Type :  Opération de sensibilisation","Association :  APF France handicap - Délégation des Hauts-de-Seine","Date : Tout le temps","Disponibilité demandée :  En fonction de vos disponibilités"
"1615904032-1188","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=331&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Animation Formation Atelier Initiation Informatique Centre Pénitentiaire Nantes","Lieu : NANTES (44000)","Type :  Enseignement. Formation.","Association :  Club Informatique Pénitentiaire","Date : Tout le temps","Disponibilité demandée :  Une demi-journée par semaine"
"1615903790-378","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=398&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Référent Bénévolat","Lieu : VILLEURBANNE (69100)","Type :  Responsable associatif. Coordinateur d'équipe","Association :  Secours catholique - Délégation RHONE","Date : Tout le temps","Disponibilité demandée :  1 à 2 jours par semaine - selon périodes"
"1615904185-1791","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=280&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Atelier piscine","Lieu : PARIS 18 (75018)","Type :  Animation sportive","Association :  Les Enfants de la Goutte D'Or","Date : Tout le temps","Disponibilité demandée :  quelques heures"
"1615904061-1301","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=321&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Visite et accompagnement de personnes âgées à domicile - Hôpital Charles Foix à Ivry","Lieu : IVRY SUR SEINE (94200)","Type :  Visite à domicile","Association :  Petits Frères des Pauvres - Banlieues Île-de-France","Date : Tout le temps","Disponibilité demandée :  quelques heures"
"1615904023-1148","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=334&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnement à la scolarité","Lieu : PARIS 75002 (75002)","Type :  Accompagnement scolaire","Association :  Centre d'Action Sociale Protestant","Date : Tout le temps","Disponibilité demandée :  2h par semaine"
"1615904071-1346","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=317&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Aide au fonctionnement et à la vie de l’association","Lieu : LES ULIS (91940)","Type :  Autres actions","Association :  T'HandiQuoi","Date : Tout le temps","Disponibilité demandée :  En fonction de vos possibilités!"
"1615904839-4366","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=66&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Responsable de la mobilisation des scolaires","Lieu : LOIR-ET-CHER (41)","Type :  Opération de sensibilisation","Association :  AFM - Coordination Téléthon - Loir-et-Cher","Date : Tout le temps","Disponibilité demandée :  Quelques heures par semaine"
"1615904241-2062","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=258&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Comptabilité","Lieu : AUCH (32000)","Type :  Gestion financière et comptable","Association :  Secours catholique - Délégation PYRENEES GASCOGNE","Date : Tout le temps","Disponibilité demandée :  2 journées par mois à réaliser avant le 15 du mois"
"1615904003-1087","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=339&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Apprentissage du français","Lieu : PARIS 75017 (75017)","Type :  Alphabétisation. Français Langue Etrangère.","Association :  Espace 16","Date : Tout le temps","Disponibilité demandée :  environ 3h par semaine"
"1615904871-4500","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=55&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnement de demandeurs d'emploi - Secteur d'Eaubonne","Lieu : VAL-D'OISE (95)","Type :  Aide à l'insertion / Parrainages","Association :  SNC - Solidarités Nouvelles Face au Chômage - Bouffémont","Date : Tout le temps","Disponibilité demandée :  - Quelques heures chaque quinzaine."
"1615903935-823","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=361&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Animation d’un réseau d’associations locales - Pyrénées-Orientales (66)","Lieu : PERPIGNAN (66000)","Type :  Responsable associatif. Coordinateur d'équipe","Association :  Dons Solidaires","Date : Tout le temps","Disponibilité demandée :  Ce bénévolat, souple dans la gestion du temps, implique d’être disponible une journée par semaine."
"1615904641-3663","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=124&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnement vers l'emploi de déficients visuels","Lieu : BORDEAUX 33800 (33800)","Type :  Aide à l'insertion / Parrainages","Association :  ApiDV (Accompagner, Promouvoir, Intégrer les Déficients Visuels) - anciennement GIAA","Date : Tout le temps","Disponibilité demandée :  2 à 3 demi-journées"
"1615904324-2410","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=229&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Visite et accompagnement de personnes âgées à domicile - Buchelay","Lieu : BUCHELAY (78200)","Type :  Visite à domicile","Association :  Petits Frères des Pauvres - Banlieues Île-de-France","Date : Tout le temps","Disponibilité demandée :  quelques heures"
"1615904713-3872","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=107&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chargé.e de Graphisme Vidéo","Lieu : MONTPELLIER (34000)","Type :  Communication","Association :  VEG NATURE","Date : Tout le temps","Disponibilité demandée :  A définir ensemble"
"1615905102-5128","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=2&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chantiers jeunes 2021","Lieu : Partout en France ","Type :  Chantiers environnement, patrimoine, humanitaire","Association :  ATD Quart Monde chantiers de jeunes","Date : du 26/04/2021 au 13/11/2021","Disponibilité demandée :  De quelques jours à une semaine"
"1615904747-4037","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=93&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Atelier de savoirs de base pour les adultes en situation d'illettrisme (Vallet-vignoble)","Lieu : VALLET (44330)","Type :  Alphabétisation. Français Langue Etrangère.","Association :  Services Régionaux Itinérants","Date : Tout le temps","Disponibilité demandée :  1h30 à 2h par semaine"
"1615904102-1495","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=305&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnateur(trice) de randonnée pour personnes handicapées avec Joëlette","Lieu : STRASBOURG (67000)","Type :  Aide au déplacement","Association :  APF France handicap - Délégation du Bas-Rhin","Date : Tout le temps","Disponibilité demandée :  Un après-midi par semaine ou toutes les deux semaines."
"1615904151-1662","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=291&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Soutien scolaire pour élèves et apprentis en formation professionnelle","Lieu : LYON 69003 (69003)","Type :  Accompagnement scolaire","Association :  Société d'enseignement professionnel du Rhône","Date : Tout le temps","Disponibilité demandée :  1 à 2 heures par semaine ou par mois"
"1615905095-5089","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=5&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Ecrivain public - Saint-Gratien","Lieu : ST GRATIEN (95210)","Type :  Ecrivain public (Aide aux démarches administratives)","Association :  ESSIVAM","Date : Tout le temps","Disponibilité demandée :  - 1/2 journée par semaine."
"1615904253-2118","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=253&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnement relationnel de personnes âgées par des visites à domicile","Lieu : POLLIONNAY (69290)","Type :  Visite à domicile","Association :  Les petits frères des Pauvres de la région Auvergne Rhône-Alpes, AURA","Date : Tout le temps","Disponibilité demandée :  1 à 2 heures par semaine de façon régulière ou tous les 15 jours, éventuellement le week-end."
"1615904784-4205","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=79&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Animateur d'ateliers RH","Lieu : Partout en France ","Type :  Communication","Association :  Construisons Ensemble Comment Faire ","Date : Tout le temps","Disponibilité demandée :  quelques heures"
"1615904611-3526","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=136&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Appui au projet du café associatif","Lieu : VILLEURBANNE (69100)","Type :  Animation culturelle","Association :  La MIETE, Maison des Initiatives de l'Engagement du Troc et de l'Echange","Date : Tout le temps","Disponibilité demandée :  2 heures par mois"
"1615904547-3238","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=160&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Faire connaître l'Adie sur le bassin de Moulins","Lieu : MOULINS (03000)","Type :  Opération de sensibilisation","Association :  Association pour le Droit à  l'Initiative Economique","Date : Tout le temps","Disponibilité demandée :  1/2 journée à 1 journée par semaine"
"1615904931-4602","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=46&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Dispositif Mobile de Soutien aux Exilé.e.s/Rétablissement des liens familiaux","Lieu : LILLE (59000)","Type :  Chantiers environnement, patrimoine, humanitaire","Association :   Croix-Rouge française - Unité de Lille","Date : Tout le temps","Disponibilité demandée :  Mardi, mercredi, ou jeudi"
"1615904435-2809","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=195&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Appui administratif","Lieu : VILLEPINTE (93420)","Type :  Enseignement. Formation.","Association :  Justice Deuxième Chance","Date : Tout le temps","Disponibilité demandée :  2 jours par semaine"
"1615904626-3599","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=130&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnement scolaire à  domicile - Cluny","Lieu : CLUNY (71250)","Type :  Accompagnement scolaire","Association :  Entraide Scolaire Amicale - Section Rhône-Alpes","Date : Tout le temps","Disponibilité demandée :  1 fois par semaine, 1 heure minimum"
"1615904134-1615","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=295&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Agissez avec l'Unicef !","Lieu : LIMOGES (87000)","Type :  Autres actions","Association :  Unicef - Comité de Haute Vienne","Date : Tout le temps","Disponibilité demandée :  quelques heures par semaine"
"1615904786-4223","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=78&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Animation ateliers culturels - Enfants ou Jeunes ou Adultes ou Tous publics - Pontoise","Lieu : PONTOISE (95300)","Type :  Animation culturelle","Association :  Centre Socioculturel Les Louvrais","Date : Tout le temps","Disponibilité demandée :  - Quelques heures par semaine."
